,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
151,311,6.894150071092399,0.9015602055028658,8.212412093200843,-0.5662407088792043,0.4708066572825317,0.017008236696682676,0.2845949868846425,0.06682805152953308,0.025295054135667617,2147.0,0.028057110143288048
152,312,-2.8046304521960352,0.7171681700323,6.88321709455844,-0.5720341916301943,0.7778956918117719,-0.05379384832777257,0.1796195081759048,0.055396449040270454,-0.2343538538075056,1999.0,0.034736070102989555
153,313,4.8466698734322655,0.215597958067427,-2.5730237374688536,-0.857756131827226,0.5197085084815845,-0.13789530652669604,1.0619408449188337,0.18468425826121365,-0.23987076804929777,1519.0,0.12187394035252484
154,315,-5.460594088308348,0.21726653717998956,6.199423611532016,-0.13014308024019816,1.0939304828421441,-0.011126026779396609,0.09308508910070488,0.03152574881619596,-0.024357691905005224,1255.0,0.04358761353775245
155,317,-4.888661343031339,-0.34548150348399576,4.578612572820726,0.22094083340922532,0.6491039109605652,0.03356370010791187,0.127324575532476,0.04162314994969801,0.22538689170375859,1987.0,0.048247403851419464
156,318,8.536510385872212,-0.8060888070218093,1.4002836993445933,0.18260237787354328,0.7626340301510264,0.1442732446767198,0.002391995547803441,0.03632986355359291,0.7579049692317116,370.0,0.05190952358772615
157,319,-9.144802641349095,0.30689062216809826,-3.8290503166428436,0.5104672054230042,0.5455586049108837,-0.07122458636262255,0.10176600024329836,0.028038743011135323,-0.35346708387546805,3267.0,0.028248344837337454
158,321,-5.436850782837716,-0.5290852672503137,-9.505880813922346,-0.8582445567582546,1.6084407851133622,0.013163439001504264,0.5051840454701313,0.15227736257117214,0.07398388492358124,0.0,0.2239184965309483
159,322,-8.05444516400299,-0.4982575065042698,8.425542277072363,-0.9268429675092387,1.4380291268489285,0.10226608388182422,0.04808896455829166,0.018555741816818197,0.5943569716017704,2957.0,0.02618798409035199
160,329,2.794978857197663,0.5770675489601542,-7.983119749081458,-0.9107722067937765,0.8729367108106243,0.00029931657174706136,0.7366351658155648,0.3949640346900938,0.052418074825881594,42.0,0.5013236568494868
161,330,-5.213646017889564,-0.38948128321298303,2.901839585094459,-0.7120594029291867,0.8507480712726193,0.08910003871322945,0.05944406504377306,0.0185530658530763,0.5285802228119578,2436.0,0.02545983083851052
162,331,4.298166649254364,-0.3466001722238099,-9.906745853286443,0.7118653273799915,1.5128363982009214,-0.07460139487611395,0.9507383310391045,0.3060610111913817,-0.10552849563842576,0.0,0.4330967438410569
163,333,6.2095740283766565,0.9588235264011262,2.243088520727452,0.9365833888211972,1.1899272914167287,-0.11194423298325291,0.59683106345673,0.3597610808336199,-0.17482657021671033,0.0,0.5373744725959061
164,334,-5.914215017005143,-0.5631587926283887,7.286155580616402,0.9547605282473313,1.2255199612719285,-0.1485107622018446,1.3622485769267556,0.16005711345922566,-0.42871293033869956,1157.0,0.15605714583378455
